,Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_min,EC_max,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd
88.00,SVR-H,positive_incon,5.00,50.00,18.77,0.41,19.59,12.40,0.00,278.11,0.34,1.52,6.08,12.40,25.13,55.65,85.97,12.47,0.17,0.07,0.00,272.55,7.00,16.51,0.21,0.58,0.01
89.00,SVR-H,intersection_union_distance,5.00,50.00,15.44,0.72,20.55,6.62,0.00,278.11,0.00,0.39,2.54,6.62,21.32,55.38,85.97,12.47,0.17,0.07,0.00,272.55,7.00,16.51,0.21,0.58,0.01
90.00,SVR,ratio,5.00,50.00,0.94,0.03,0.10,0.98,0.00,1.00,0.24,0.72,0.95,0.98,0.99,1.00,1.00,19.53,0.01,0.11,0.00,597.98,0.72,24.45,0.01,0.08,0.00
91.00,SVR,ratio-diff,5.00,50.00,0.04,0.02,0.08,0.01,0.00,1.00,0.00,0.00,0.00,0.01,0.03,0.16,0.61,19.53,0.01,0.11,0.00,597.98,0.72,24.45,0.01,0.08,0.00
92.00,SVR,ratio-signed,5.00,50.00,0.93,0.03,0.14,0.98,-1.00,1.00,0.03,0.71,0.95,0.98,0.99,1.00,1.00,19.53,0.01,0.11,0.00,597.98,0.72,24.45,0.01,0.08,0.00
93.00,SVR,ratio-diff-signed,5.00,50.00,0.03,0.01,0.05,0.01,-1.00,1.00,0.00,0.00,0.00,0.01,0.03,0.14,0.47,19.53,0.01,0.11,0.00,597.98,0.72,24.45,0.01,0.08,0.00
94.00,SVR,intersection_union_sample,5.00,50.00,0.47,0.01,0.48,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.98,1.00,1.00,19.53,0.01,0.11,0.00,597.98,0.72,24.45,0.01,0.08,0.00
95.00,SVR,intersection_union_all,5.00,50.00,0.30,NA,0.00,0.30,0.29,0.32,0.29,0.29,0.30,0.30,0.30,0.31,0.31,19.53,0.01,0.11,0.00,597.98,0.72,24.45,0.01,0.08,0.00
96.00,SVR,negative_incon,5.00,50.00,0.23,0.01,0.71,-0.04,-0.50,1.00,-0.50,-0.50,-0.49,-0.04,0.98,1.00,1.00,19.53,0.01,0.11,0.00,597.98,0.72,24.45,0.01,0.08,0.00
97.00,SVR,positive_incon,5.00,50.00,29.79,0.13,27.13,21.29,0.00,146.81,0.43,1.71,10.16,21.29,40.37,89.29,116.42,19.53,0.01,0.11,0.00,597.98,0.72,24.45,0.01,0.08,0.00
98.00,SVR,intersection_union_distance,5.00,50.00,20.97,0.20,30.56,1.30,0.00,146.81,0.00,0.05,0.36,1.30,33.17,89.29,116.42,19.53,0.01,0.11,0.00,597.98,0.72,24.45,0.01,0.08,0.00
